,0
EIMMagnitude,66.12474091156233
EIMPhase,5.62613141033288
JointAngle,104.54598660663645
Mass,3.0805283807094885
RollingAverageMag,66.12544140070985
RollingAveragePhase,5.625791186892961
MedianEIMMagnitude,67.14027704323115
MedianEIMPhase,7.4536485620744255
MeanEIMMagnitude,66.12474091156233
MeanEIMPhase,5.626131410332875
StdEIMMagnitude,9.375068708428742
StdEIMPhase,2.4268842799489176
VarEIMMagnitude,108.05962265552017
VarEIMPhase,6.207995617195127
KurtEIMMagnitude,-0.6156257712740708
KurtEIMPhase,0.25360865025579554
ROCEIMMagnitude,7.663011004873061e-06
ROCEIMPhase,2.9471210659093718e-05
