,0
EIMMagnitude,66.12474091156233
EIMPhase,5.62613141033288
JointAngle,104.54598660663645
Mass,3.0805283807094885
RollingAverageMag,66.12544140070985
RollingAveragePhase,5.625791186892961
MedianEIMMagnitude,67.14027704323115
MedianEIMPhase,7.453648562074424
MeanEIMMagnitude,66.12474091156233
MeanEIMPhase,5.626131410332874
StdEIMMagnitude,9.375068708428742
StdEIMPhase,2.4268842799489176
VarEIMMagnitude,108.05962265552016
VarEIMPhase,6.207995617195124
KurtEIMMagnitude,-0.6156257712740707
KurtEIMPhase,0.2536086502557955
ROCEIMMagnitude,7.663011004873063e-06
ROCEIMPhase,2.9471210659093728e-05
