,0
EIMMagnitude,13.584656868960725
EIMPhase,2.6225107063681516
JointAngle,50.42846290345227
Mass,2.5666176350502603
RollingAverageMag,12.693566411315103
RollingAveragePhase,1.2839093741014533
MedianEIMMagnitude,9.790462332622717
MedianEIMPhase,2.909487217815806
MeanEIMMagnitude,8.74641389778505
MeanEIMPhase,0.818938928463071
StdEIMMagnitude,4.490851680024246
StdEIMPhase,0.5641178346109917
VarEIMMagnitude,94.2796062489328
VarEIMPhase,3.3653044345595298
KurtEIMMagnitude,0.5105254452434256
KurtEIMPhase,1.298665808720926
ROCEIMMagnitude,0.0040654909491724
ROCEIMPhase,0.0080828684758436
