"data"
18.1981
14.5823
12.0923
11.5491
11.6953
11.8724
11.9134
11.4365
10.7796
10.6201
10.7975
10.8926
10.9019
10.886
10.8239
10.7173
10.587
10.4217
10.2529
10.149
10.0137
9.80037
9.63634
9.54066
9.45161
9.35011
9.22475
9.10904
9.07165
9.08117
9.09726
9.21869
9.41586
9.47363
9.36853
9.25611
9.20018
9.14481
9.0888
9.12194
9.19837
9.16762
9.03619
8.93421
8.92414
8.96255
9.02189
9.13734
9.28264
9.37902
9.41613
9.42049
9.40573
9.39652
9.38678
9.37281
9.38791
9.38271
9.30438
9.20123
9.10764
9.07142
9.14519
9.23905
9.25663
9.26832
9.31986
9.36329
9.42021
9.50078
9.5414
9.51309
9.43536
9.37433
9.39346
9.47067
9.55097
9.62054
9.6818
9.71371
9.70103
9.65298
9.57578
9.49812
9.4712
9.4917
9.50598
9.48207
9.43425
9.40324
9.40802
9.4419
9.51539
9.62443
9.71831
9.74827
9.71473
9.66034
9.62644
9.62046
9.63234
9.64878
9.65749
9.67774
9.71556
9.72633
9.70201
9.66911
9.63972
9.63106
9.64417
9.65559
9.66825
9.69595
9.71244
9.70917
9.72431
9.76006
9.77192
9.74079
9.69881
9.67188
9.65561
9.64737
9.63558
9.60865
9.57858
9.55744
9.54487
9.53623
9.53923
9.56209
9.57679
9.56153
9.52954
9.48602
9.44016
9.40796
9.38942
9.39531
9.42481
9.44511
9.43875
9.41734
9.39521
9.3707
9.33958
9.31187
9.29421
9.28121
9.27901
9.30236
9.33246
9.33403
9.30572
9.27788
9.28126
9.30276
9.309
9.30631
9.31194
9.33172
9.36564
9.38951
9.38463
9.36686
9.35323
9.34023
9.32902
9.3417
9.38372
9.42408
9.44198
9.45072
9.45824
9.46051
9.4623
9.45708
9.44265
9.43689
9.43151
9.40843
9.38335
9.3709
9.36153
9.34818
9.33352
9.31979
9.30792
9.29386
9.28104
9.28314
9.28996
9.27783
9.26327
9.27054
9.28112
9.28409
9.28756
9.27847
9.25392
9.23115
9.21664
9.21355
9.22592
9.24438
9.25721
9.26696
9.27344
9.2794
9.30168
9.33089
9.33863
9.3257
9.31164
9.30872
9.31777
9.34163
9.37587
9.39053
9.37327
9.34397
9.31176
9.27618
9.24595
9.22698
9.21022
9.18703
9.16301
9.14296
9.12357
9.10407
9.08641
9.07242
9.07295
9.097
9.12515
9.12899
9.10931
9.08296
9.06511
9.06818
9.08676
9.11051
9.14296
9.17741
9.19109
9.18017
9.16427
9.15743
9.16462
9.18085
9.18904
9.18697
9.1817
9.16821
