[90.76],['1700575652']
[90.63],['1700575652']
[90.8],['1700575652']
[90.71],['1700575652']
[90.93],['1700575653']
[91.12],['1700575653']
[91.28],['1700575653']
[91.36],['1700575653']
[91.47],['1700575653']
[91.58],['1700575653']
[91.59],['1700575653']
[91.63],['1700575653']
[91.49],['1700575653']
[91.57],['1700575653']
[91.37],['1700575653']
[91.36],['1700575653']
[91.48],['1700575653']
[91.55],['1700575653']
[91.46],['1700575653']
[91.47],['1700575653']
[91.55],['1700575654']
[91.39],['1700575654']
[91.43],['1700575654']
[91.58],['1700575654']
[91.56],['1700575654']
[91.59],['1700575654']
[91.64],['1700575654']
[91.74],['1700575654']
[91.84],['1700575654']
[91.84],['1700575654']
[91.92],['1700575654']
[91.79],['1700575654']
[91.62],['1700575654']
[91.55],['1700575654']
[91.36],['1700575654']
[91.77],['1700575655']
[91.74],['1700575655']
[91.77],['1700575655']
[91.82],['1700575655']
[91.69],['1700575655']
[91.87],['1700575655']
[91.97],['1700575655']
[91.96],['1700575655']
[91.1],['1700575655']
[86.46],['1700575655']
[82.13],['1700575655']
[82.9],['1700575655']
[79.72],['1700575655']
[65.62],['1700575655']
[60.38],['1700575655']
[57.31],['1700575656']
[51.9],['1700575656']
[47.28],['1700575656']
[44.6],['1700575656']
[41.86],['1700575656']
[39.88],['1700575656']
[38.36],['1700575656']
[37.74],['1700575656']
[37.02],['1700575656']
[36.57],['1700575656']
[36.62],['1700575656']
[36.69],['1700575656']
[36.69],['1700575656']
[36.3],['1700575656']
[36.28],['1700575657']
[36.44],['1700575657']
[36.47],['1700575657']
[36.2],['1700575657']
[36.41],['1700575657']
[36.67],['1700575657']
[37.7],['1700575657']
[39.28],['1700575657']
[42.08],['1700575657']
[44.39],['1700575657']
[48.18],['1700575657']
[52.16],['1700575657']
[54.9],['1700575657']
[56.73],['1700575657']
[58.5],['1700575657']
[61.02],['1700575657']
[62.84],['1700575658']
[64.56],['1700575658']
[66.64],['1700575658']
[68.52],['1700575658']
[77.86],['1700575658']
[74.18],['1700575658']
[73.13],['1700575658']
[74.17],['1700575658']
[75.84],['1700575658']
[76.],['1700575658']
[76.93],['1700575658']
[77.55],['1700575658']
[78.72],['1700575658']
[79.31],['1700575658']
[80.04],['1700575659']
[80.29],['1700575659']
[81.18],['1700575659']
[81.62],['1700575659']
[82.03],['1700575659']
[82.31],['1700575659']
[82.34],['1700575659']
[82.25],['1700575659']
[82.13],['1700575659']
[82.14],['1700575659']
[82.21],['1700575659']
[82.16],['1700575659']
[82.78],['1700575659']
[83.41],['1700575659']
[84.27],['1700575659']
[85.12],['1700575659']
[85.77],['1700575660']
[86.58],['1700575660']
[87.17],['1700575660']
[87.29],['1700575660']
[87.62],['1700575660']
[87.8],['1700575660']
[88.39],['1700575660']
[88.81],['1700575660']
[89.23],['1700575660']
[89.61],['1700575660']
[90.05],['1700575660']
[90.48],['1700575660']
[91.],['1700575660']
[91.43],['1700575660']
[91.52],['1700575660']
[91.96],['1700575661']
[92.13],['1700575661']
[92.33],['1700575661']
[92.39],['1700575661']
[92.46],['1700575661']
[92.5],['1700575661']
[92.41],['1700575661']
[92.46],['1700575661']
[92.6],['1700575661']
[92.78],['1700575661']
