[177.91],['1700569102']
[177.75],['1700569102']
[177.68],['1700569102']
[177.7],['1700569102']
[177.65],['1700569102']
[177.57],['1700569102']
[177.43],['1700569102']
[177.39],['1700569102']
[177.39],['1700569102']
[177.45],['1700569102']
[177.33],['1700569102']
[177.35],['1700569102']
[176.92],['1700569102']
[175.72],['1700569102']
[173.39],['1700569102']
[170.74],['1700569102']
[168.66],['1700569103']
[166.73],['1700569103']
[166.02],['1700569103']
[165.25],['1700569103']
[162.39],['1700569103']
[160.38],['1700569103']
[159.38],['1700569103']
[157.8],['1700569103']
[155.25],['1700569103']
[151.85],['1700569103']
[149.47],['1700569103']
[148.49],['1700569103']
[144.48],['1700569103']
[139.97],['1700569103']
[139.67],['1700569103']
[140.27],['1700569104']
[136.49],['1700569104']
[131.3],['1700569104']
[130.57],['1700569104']
[132.95],['1700569104']
[130.51],['1700569104']
[129.72],['1700569104']
[129.96],['1700569104']
[125.35],['1700569104']
[121.57],['1700569104']
[123.25],['1700569104']
[123.33],['1700569104']
[117.34],['1700569104']
[107.61],['1700569105']
[103.22],['1700569105']
[104.29],['1700569105']
[102.21],['1700569105']
[92.08],['1700569105']
[89.03],['1700569105']
[91.37],['1700569105']
[92.55],['1700569105']
[84.98],['1700569105']
[81.74],['1700569105']
[83.73],['1700569105']
[80.83],['1700569105']
[77.95],['1700569105']
[78.43],['1700569105']
[77.79],['1700569105']
[75.03],['1700569106']
[66.64],['1700569106']
[68.65],['1700569106']
[66.69],['1700569106']
[60.91],['1700569106']
[59.68],['1700569106']
[59.81],['1700569106']
[53.6],['1700569106']
[48.31],['1700569106']
[46.34],['1700569106']
[46.22],['1700569106']
[42.31],['1700569106']
[40.85],['1700569106']
[43.3],['1700569106']
[43.6],['1700569106']
[41.16],['1700569106']
[38.22],['1700569107']
[36.76],['1700569107']
[37.28],['1700569107']
[37.37],['1700569107']
[36.15],['1700569107']
[36.68],['1700569107']
[36.51],['1700569107']
[35.48],['1700569107']
[35.09],['1700569107']
[35.],['1700569107']
[33.02],['1700569107']
[32.53],['1700569107']
[33.01],['1700569107']
[32.82],['1700569107']
[32.18],['1700569107']
[32.12],['1700569108']
[31.79],['1700569108']
[31.34],['1700569108']
[31.03],['1700569108']
[31.],['1700569108']
[31.29],['1700569108']
[31.45],['1700569108']
[32.55],['1700569108']
[34.38],['1700569108']
[34.44],['1700569108']
[34.39],['1700569108']
[34.4],['1700569108']
[34.04],['1700569108']
[33.58],['1700569108']
[32.58],['1700569109']
[32.15],['1700569109']
[32.1],['1700569109']
[32.04],['1700569109']
[32.14],['1700569109']
[32.73],['1700569109']
[33.76],['1700569109']
[34.17],['1700569109']
[37.42],['1700569109']
[39.97],['1700569109']
[39.53],['1700569109']
[40.69],['1700569109']
[41.83],['1700569109']
[43.26],['1700569109']
[42.77],['1700569109']
[43.5],['1700569109']
[46.48],['1700569110']
[46.27],['1700569110']
[46.37],['1700569110']
[48.84],['1700569110']
[49.95],['1700569110']
[49.85],['1700569110']
[52.31],['1700569110']
[55.31],['1700569110']
[54.03],['1700569110']
[53.33],['1700569110']
[55.51],['1700569110']
[62.62],['1700569110']
[64.69],['1700569110']
[68.74],['1700569110']
[73.69],['1700569110']
[70.8],['1700569111']
[69.33],['1700569111']
[74.2],['1700569111']
[81.73],['1700569111']
[83.39],['1700569111']
[86.98],['1700569111']
[95.78],['1700569111']
[95.44],['1700569111']
[92.45],['1700569111']
[98.18],['1700569111']
[103.79],['1700569111']
[105.49],['1700569111']
[106.61],['1700569111']
[114.77],['1700569111']
[119.78],['1700569111']
[121.27],['1700569112']
[126.42],['1700569112']
[129.63],['1700569112']
[129.4],['1700569112']
[128.91],['1700569112']
[129.47],['1700569112']
[131.84],['1700569112']
[131.03],['1700569112']
[130.02],['1700569112']
[134.07],['1700569112']
[139.19],['1700569112']
[140.33],['1700569112']
[140.23],['1700569112']
[143.19],['1700569112']
[144.7],['1700569112']
[144.4],['1700569113']
[145.71],['1700569113']
[152.12],['1700569113']
[154.66],['1700569113']
[155.47],['1700569113']
[156.89],['1700569113']
[158.77],['1700569113']
[160.06],['1700569113']
[161.83],['1700569113']
[163.05],['1700569113']
[165.35],['1700569113']
[168.92],['1700569113']
[172.24],['1700569113']
[173.5],['1700569113']
[175.03],['1700569113']
[177.36],['1700569114']
[179.2],['1700569114']
[179.65],['1700569114']
[179.08],['1700569114']
[178.76],['1700569114']
[179.15],['1700569114']
[178.81],['1700569114']
[178.83],['1700569114']
[178.55],['1700569114']
[178.55],['1700569114']
[178.99],['1700569114']
[179.22],['1700569114']
[179.49],['1700569114']
[179.7],['1700569114']
