[177.14],['1700572322']
[177.22],['1700572322']
[177.23],['1700572322']
[177.26],['1700572322']
[177.1],['1700572322']
[177.],['1700572322']
[176.99],['1700572322']
[177.01],['1700572322']
[176.42],['1700572322']
[175.64],['1700572322']
[173.29],['1700572322']
[171.99],['1700572322']
[169.1],['1700572322']
[166.2],['1700572322']
[163.69],['1700572323']
[160.72],['1700572323']
[158.32],['1700572323']
[154.94],['1700572323']
[150.62],['1700572323']
[146.6],['1700572323']
[133.14],['1700572323']
[127.64],['1700572323']
[113.11],['1700572323']
[106.97],['1700572323']
[103.59],['1700572323']
[99.78],['1700572323']
[96.02],['1700572324']
[89.64],['1700572324']
[84.32],['1700572324']
[82.35],['1700572324']
[80.81],['1700572324']
[80.3],['1700572324']
[80.],['1700572324']
[79.49],['1700572324']
[80.05],['1700572324']
[79.7],['1700572324']
[80.23],['1700572324']
[81.28],['1700572325']
[81.98],['1700572325']
[82.04],['1700572325']
[82.13],['1700572325']
[82.08],['1700572325']
[82.25],['1700572325']
[82.82],['1700572325']
[84.15],['1700572325']
[85.51],['1700572325']
[89.14],['1700572326']
[91.51],['1700572326']
[92.85],['1700572326']
[94.1],['1700572326']
[93.6],['1700572326']
[93.4],['1700572326']
[93.33],['1700572326']
[94.04],['1700572326']
[94.35],['1700572326']
[94.35],['1700572326']
[94.64],['1700572326']
[94.79],['1700572326']
[95.27],['1700572326']
[95.26],['1700572326']
[95.41],['1700572326']
[95.48],['1700572327']
[95.59],['1700572327']
[95.53],['1700572327']
[94.64],['1700572327']
[93.72],['1700572327']
[93.24],['1700572327']
[93.],['1700572327']
[92.89],['1700572327']
[92.65],['1700572327']
[92.73],['1700572327']
[92.73],['1700572327']
[92.37],['1700572327']
[92.15],['1700572327']
[92.01],['1700572327']
[92.52],['1700572327']
[92.39],['1700572328']
[92.28],['1700572328']
[92.2],['1700572328']
[92.06],['1700572328']
[91.94],['1700572328']
[92.2],['1700572328']
[92.11],['1700572328']
[91.62],['1700572328']
[91.42],['1700572328']
[91.21],['1700572328']
[90.34],['1700572328']
[90.26],['1700572328']
[89.52],['1700572328']
[89.11],['1700572328']
[88.81],['1700572328']
[88.77],['1700572329']
[88.7],['1700572329']
[88.63],['1700572329']
[91.45],['1700572329']
[95.33],['1700572329']
[98.51],['1700572329']
[102.61],['1700572329']
[105.49],['1700572329']
[107.9],['1700572329']
[113.44],['1700572329']
[120.42],['1700572329']
[123.05],['1700572329']
[125.25],['1700572329']
[128.39],['1700572329']
[132.52],['1700572329']
[134.03],['1700572330']
[135.83],['1700572330']
[137.58],['1700572330']
[139.95],['1700572330']
[141.51],['1700572330']
[143.85],['1700572330']
[147.51],['1700572330']
[151.18],['1700572330']
[152.93],['1700572330']
[155.25],['1700572330']
[157.],['1700572330']
[158.01],['1700572330']
[158.7],['1700572330']
[160.48],['1700572330']
[162.11],['1700572330']
[163.42],['1700572331']
[164.29],['1700572331']
[165.27],['1700572331']
[165.9],['1700572331']
[165.98],['1700572331']
[166.67],['1700572331']
[166.8],['1700572331']
[167.12],['1700572331']
[167.31],['1700572331']
[167.98],['1700572331']
[168.29],['1700572331']
[169.],['1700572331']
[169.43],['1700572331']
[169.7],['1700572331']
[169.95],['1700572331']
[170.14],['1700572332']
[170.01],['1700572332']
[169.91],['1700572332']
[169.89],['1700572332']
[169.72],['1700572332']
[169.64],['1700572332']
[169.21],['1700572332']
[169.06],['1700572332']
[169.07],['1700572332']
[168.93],['1700572332']
[168.9],['1700572332']
[168.8],['1700572332']
[168.57],['1700572332']
[168.74],['1700572332']
[168.78],['1700572332']
[168.82],['1700572333']
[168.87],['1700572333']
[168.75],['1700572333']
[168.81],['1700572333']
